year,event_count,total_cost_millions,total_deaths,avg_cost_per_event,max_cost,gdp_billions,population,cost_pct_of_gdp,events_per_million,cost_per_capita_dollars,deaths_per_million,decade,event_count_5yr_avg,cost_5yr_avg,cost_pct_gdp_5yr_avg,cumulative_events,cumulative_cost_millions,cumulative_deaths
1980,3,45666.799999999996,1280,15222.27,40681.2,7257.316,227225000,0.6293,0.0132,200.98,5.6332,1980,3.0,45666.8,0.6293,3,45666.799999999996,1280
1981,2,3485.5,20,1742.75,2076.4,7441.485,229466000,0.0468,0.0087,15.19,0.0872,1980,2.5,24576.15,0.338,5,49152.299999999996,1300
1982,5,15175.7,243,3035.14,4946.2,7307.314,231664000,0.2077,0.0216,65.51,1.0489,1980,3.3333,21442.6667,0.2946,10,64328.0,1543
1983,4,26755.5,186,6688.88,9574.0,7642.266,233792000,0.3501,0.0171,114.44,0.7956,1980,3.5,22770.875,0.3085,14,91083.5,1729
1984,2,3208.0,81,1604.0,1851.6,8195.295,235825000,0.0391,0.0085,13.6,0.3435,1980,3.2,18858.3,0.2546,16,94291.5,1810
1985,7,22514.6,379,3216.37,4340.4,8537.004,237924000,0.2637,0.0294,94.63,1.5929,1980,4.0,14227.86,0.1815,23,116806.1,2189
1986,3,7869.6,123,2623.2,5194.5,8832.611,240133000,0.0891,0.0125,32.77,0.5122,1980,4.2,15104.68,0.1899,26,124675.70000000001,2312
1987,0,0.0,0,0.0,0.0,9137.745,242289000,0.0,0.0,0.0,0.0,1980,3.2,12069.54,0.1484,26,124675.70000000001,2312
1988,1,54610.4,454,54610.4,54610.4,9519.427,244499000,0.5737,0.0041,223.36,1.8569,1980,2.6,17640.52,0.1931,27,179286.1,2766
1989,6,40330.6,228,6721.77,22679.7,9869.003,246819000,0.4087,0.0243,163.4,0.9238,1980,3.4,25065.04,0.267,33,219616.7,2994
1990,4,14589.4,30,3647.35,8432.0,10055.129,249623000,0.1451,0.016,58.45,0.1202,1990,2.8,23480.0,0.2433,37,234206.1,3024
1991,4,19611.0,43,4902.75,7590.0,10044.238,252981000,0.1952,0.0158,77.52,0.17,1990,3.0,25828.28,0.2645,41,253817.1,3067
1992,7,80021.9,113,11431.7,60480.0,10398.046,256514000,0.7696,0.0273,311.96,0.4405,1990,4.4,41832.66,0.4185,48,333839.0,3180
1993,5,65643.3,339,13128.66,46323.6,10684.179,259919000,0.6144,0.0192,252.55,1.3043,1990,5.2,44039.24,0.4266,53,399482.3,3519
1994,6,16580.8,133,2763.47,6444.9,11114.647,263126000,0.1492,0.0228,63.01,0.5055,1990,5.2,39289.28,0.3747,59,416063.1,3652
1995,7,35519.5,977,5074.21,11357.0,11413.012,266278000,0.3112,0.0263,133.39,3.6691,1990,5.8,43475.3,0.4079,66,451582.6,4629
1996,5,23203.6,234,4640.72,10014.0,11843.599,269394000,0.1959,0.0186,86.13,0.8686,1990,6.0,44193.82,0.4081,71,474786.19999999995,4863
1997,4,17157.3,246,4289.32,7279.5,12370.299,272657000,0.1387,0.0147,62.93,0.9022,1990,5.4,31620.9,0.2819,75,491943.49999999994,5109
1998,10,38196.9,301,3819.69,11550.1,12924.876,275854000,0.2955,0.0363,138.47,1.0912,1990,6.4,26131.62,0.2181,85,530140.3999999999,5410
1999,5,24500.0,659,4900.0,12203.2,13543.774,279040000,0.1809,0.0179,87.8,2.3617,1990,6.2,27715.46,0.2245,90,554640.3999999999,6069
2000,5,15541.699999999999,147,3108.34,9344.8,14096.033,282162411,0.1103,0.0177,55.08,0.521,2000,5.8,23719.9,0.1843,95,570182.0999999999,6216
2001,3,21787.0,46,7262.33,15084.0,14230.726,284968955,0.1531,0.0105,76.45,0.1614,2000,5.4,23436.58,0.1757,98,591969.0999999999,6262
2002,6,27184.0,63,4530.67,16031.6,14472.712,287625193,0.1878,0.0209,94.51,0.219,2000,5.8,25441.92,0.1855,104,619153.0999999999,6325
2003,7,38429.8,180,5489.97,9322.9,14877.312,290107933,0.2583,0.0241,132.47,0.6205,2000,5.2,25488.5,0.1781,111,657582.8999999999,6505
2004,6,92149.7,172,15358.28,34031.0,15449.757,292805298,0.5964,0.0205,314.71,0.5874,2000,5.4,39018.44,0.2612,117,749732.5999999999,6677
2005,6,268593.3,2002,44765.55,201297.5,15987.957,295516599,1.68,0.0203,908.89,6.7746,2000,5.6,89628.76,0.5751,123,1018325.8999999999,8679
2006,8,25212.300000000003,97,3151.54,9536.7,16433.148,298379912,0.1534,0.0268,84.5,0.3251,2000,6.6,90313.82,0.5752,131,1043538.2,8776
2007,5,18868.5,37,3773.7,5519.7,16762.445,301231207,0.1126,0.0166,62.64,0.1228,2000,6.4,88650.72,0.5601,136,1062406.7,8813
2008,12,93955.6,315,7829.63,43198.4,16781.485,304093966,0.5599,0.0395,308.97,1.0359,2000,7.4,99755.88,0.6205,148,1156362.3,9128
2009,9,19812.8,43,2201.42,5203.2,16349.11,306771529,0.1212,0.0293,64.58,0.1402,2000,8.0,85288.5,0.5254,157,1176175.1,9171
2010,7,20182.0,51,2883.14,5472.0,16789.75,309378227,0.1202,0.0226,65.23,0.1648,2010,8.2,35606.24,0.2135,164,1196357.1,9222
2011,18,97935.90000000001,765,5440.88,18756.7,17052.41,311839461,0.5743,0.0577,314.06,2.4532,2010,10.2,50150.96,0.2976,182,1294293.0,9987
2012,11,158735.8,377,14430.53,88453.9,17442.759,314339099,0.91,0.035,504.98,1.1993,2010,11.4,78124.42,0.4571,193,1453028.8,10364
2013,10,32317.5,114,3231.75,14283.6,17812.167,316726282,0.1814,0.0316,102.04,0.3599,2010,11.0,65796.8,0.3814,203,1485346.3,10478
2014,10,25537.6,53,2553.76,5334.8,18261.714,319257560,0.1398,0.0313,79.99,0.166,2010,11.2,66941.76,0.3852,213,1510883.9000000001,10531
2015,11,30909.4,158,2809.95,6029.3,18799.622,321815121,0.1644,0.0342,96.05,0.491,2010,12.0,69087.24,0.394,224,1541793.3,10689
2016,15,61177.1,138,4078.47,13300.0,19141.672,324353340,0.3196,0.0462,188.61,0.4255,2010,11.4,61735.48,0.3431,239,1602970.4000000001,10827
2017,19,395936.2,3280,20838.75,160000.0,19612.102,326608609,2.0188,0.0582,1212.27,10.0426,2010,13.0,109175.56,0.5648,258,1998906.6,14107
2018,16,116033.9,247,7252.12,31218.8,20193.896,328529577,0.5746,0.0487,353.19,0.7518,2010,14.2,125918.84,0.6435,274,2114940.5,14354
2019,14,55503.0,44,3964.5,13408.9,20715.671,330226227,0.2679,0.0424,168.08,0.1332,2010,15.0,131911.92,0.6691,288,2170443.5,14398
2020,22,120584.7,262,5481.12,28090.3,20284.5,331577720,0.5945,0.0663,363.67,0.7902,2020,17.2,149846.98,0.7551,310,2291028.2,14660
2021,20,164298.8,724,8214.94,84608.1,21532.407,332099760,0.763,0.0602,494.73,2.1801,2020,18.2,170471.32,0.8438,330,2455327.0,15384
2022,19,188352.9,496,9913.31,119626.0,22075.931,334017321,0.8532,0.0569,563.9,1.485,2020,18.2,128954.66,0.6106,349,2643679.9,15880
2023,27,90468.6,470,3350.69,14786.7,22723.719,336806231,0.3981,0.0802,268.61,1.3955,2020,20.4,123841.6,0.5754,376,2734148.5,16350
2024,27,182713.6,568,6767.17,78721.0,23358.435,340110988,0.7822,0.0794,537.22,1.67,2020,23.0,149283.72,0.6782,403,2916862.1,16918
