name,disaster_type,begin_date,end_date,cpi_adjusted_cost,unadjusted_cost,deaths,year,cost_rank
Central Severe Weather (April 2014),Severe Storm,2014-04-12,2014-04-13,1221.1,918.0,0,2014,384
Midwest/Southeast/Northeast Tornadoes and Flooding (April 2014),Severe Storm,2014-04-27,2014-05-01,2309.2,1736.1,33,2014,214
Center Severe Weather (May 2014),Severe Storm,2014-05-10,2014-05-14,1134.5,853.0,0,2014,397
Rockies/Midwest/Eastern Severe Weather (May 2014),Severe Storm,2014-05-18,2014-05-23,4938.6,3713.2,0,2014,101
Rockies/Central Plains Severe Weather (June 2014),Severe Storm,2014-06-03,2014-06-05,2533.4,1919.2,2,2014,196
Michigan and Northeast Flooding (August 2014),Flooding,2014-08-11,2014-08-13,1361.9,1031.7,2,2014,355
Rockies/Plains Severe Weather (September 2014),Severe Storm,2014-09-29,2014-10-02,1862.6,1400.4,0,2014,263
Western Drought (2014),Drought,2014-01-01,2014-12-31,5334.8,3951.7,0,2014,94
"Central and Eastern Winter storm, Cold Wave (February 2015)",Winter Storm,2015-02-14,2015-02-20,3969.3,2962.1,30,2015,125
Midwest/Ohio Valley Severe Weather (April 2015),Severe Storm,2015-04-07,2015-04-09,2069.0,1555.6,2,2015,234
South/Southeast Severe Weather (April 2015),Severe Storm,2015-04-18,2015-04-20,1707.6,1283.9,0,2015,288
South and Southeast Severe Weather (April 2015),Severe Storm,2015-04-24,2015-04-25,1255.8,944.0,3,2015,375
Southern Plains Tornadoes (May 2015),Severe Storm,2015-05-06,2015-05-10,1691.9,1272.1,4,2015,295
Texas and Oklahoma Flooding and Severe Weather (May 2015),Flooding,2015-05-23,2015-05-26,3375.6,2500.4,31,2015,152
Central and Northeast Severe Weather (June 2015),Severe Storm,2015-06-21,2015-06-25,1547.1,1172.0,1,2015,313
South Carolina and East Coast Flooding (October 2015),Flooding,2015-10-01,2015-10-05,2657.6,1998.2,25,2015,189
Western and Alaskan Wildfires (Summer-Fall 2015),Wildfire,2015-06-01,2015-11-30,3996.9,3028.0,12,2015,124
Texas Tornadoes and Midwest Flooding (December 2015),Severe Storm,2015-12-26,2015-12-29,2609.3,1961.9,50,2015,191
Western Drought (2015),Drought,2015-01-01,2015-12-31,6029.3,4466.0,0,2015,80
Southeast and Eastern Tornadoes (February 2016),Severe Storm,2016-02-22,2016-02-24,1383.5,1040.0,10,2016,350
Texas and Louisiana Flooding (March 2016),Flooding,2016-03-08,2016-03-12,3052.1,2294.8,5,2016,164
Southern Severe Weather (March 2016),Severe Storm,2016-03-17,2016-03-18,1597.6,1210.3,1,2016,307
North Texas Hail Storm (March 2016),Severe Storm,2016-03-23,2016-03-24,2725.5,2064.8,0,2016,185
North/Central Texas Hail Storm (April 2016),Severe Storm,2016-04-10,2016-04-12,4618.1,3498.6,0,2016,108
Houston Flooding (April 2016),Flooding,2016-04-17,2016-04-18,3559.1,2676.0,8,2016,142
South/Southeast Tornadoes (April 2016),Severe Storm,2016-04-26,2016-05-02,3160.8,2394.5,6,2016,159
Plains Tornadoes and Central Severe Weather (May 2016),Severe Storm,2016-05-08,2016-05-11,2252.9,1719.6,2,2016,216
Rockies/Central Tornadoes and Severe Weather (May 2016),Severe Storm,2016-05-21,2016-05-26,1501.5,1146.3,0,2016,324
West Virginia Flooding and Ohio Valley Tornadoes (June 2016),Flooding,2016-06-22,2016-06-24,1288.5,968.8,23,2016,368
Rockies and Northeast Severe Weather (July 2016),Severe Storm,2016-07-28,2016-07-30,1920.0,1465.6,0,2016,258
Louisiana Flooding (August 2016),Flooding,2016-08-12,2016-08-15,13300.0,10000.0,13,2016,40
Hurricane Matthew (October 2016),Tropical Cyclone,2016-10-08,2016-10-12,13100.0,10000.0,49,2016,41
Western/Southeast Wildfires (Summer-Fall 2016),Wildfire,2016-06-01,2016-12-31,3137.5,2395.0,21,2016,161
West/Northeast/Southeast Drought (2016),Drought,2016-01-01,2016-12-31,4580.0,3443.5,0,2016,109
Southern Tornado Outbreak and Western Storms (January 2017),Severe Storm,2017-01-20,2017-01-22,1436.5,1105.0,24,2017,339
California Flooding (February 2017),Flooding,2017-02-08,2017-02-22,1950.0,1500.0,5,2017,251
Central/Southeast Tornado Outbreak (March 2017),Severe Storm,2017-02-28,2017-03-01,2347.8,1806.0,6,2017,212
Midwest Tornado Outbreak (March 2017),Severe Storm,2017-03-06,2017-03-08,2828.8,2176.0,2,2017,177
Southeast Freeze (March 2017),Freeze,2017-03-14,2017-03-16,1300.0,1000.0,0,2017,366
South/Southeast Severe Weather (March 2017),Severe Storm,2017-03-26,2017-03-28,3476.6,2695.0,0,2017,146
Southeast Severe Weather and Tornadoes (April 2017),Severe Storm,2017-04-04,2017-04-06,1259.2,976.0,1,2017,374
South and Southeast Severe Weather (April 2017),Severe Storm,2017-04-20,2017-04-22,1152.0,893.0,0,2017,394
Missouri and Arkansas Flooding and Central Severe Weather (May 2017),Flooding,2017-04-25,2017-05-07,2156.7,1659.0,20,2017,225
Colorado Hail Storm and Central Severe Weather (May 2017),Severe Storm,2017-05-08,2017-05-11,4321.5,3350.0,0,2017,116
North Central Severe Weather and Tornadoes (May 2017),Severe Storm,2017-05-15,2017-05-18,1214.1,941.0,1,2017,385
Minnesota Hail Storm and Upper Midwest Severe Weather (June 2017),Severe Storm,2017-06-09,2017-06-11,3031.5,2350.0,0,2017,166
Midwest Severe Weather (June 2017),Severe Storm,2017-06-12,2017-06-16,1946.7,1509.0,0,2017,254
Midwest Severe Weather (June 2017),Severe Storm,2017-06-27,2017-06-29,1838.3,1425.0,0,2017,268
Hurricane Harvey (August 2017),Tropical Cyclone,2017-08-25,2017-08-31,160000.0,125000.0,89,2017,2
Hurricane Irma (September 2017),Tropical Cyclone,2017-09-06,2017-09-12,64000.0,50000.0,97,2017,8
Hurricane Maria (September 2017),Tropical Cyclone,2017-09-19,2017-09-21,115200.0,90000.0,2981,2017,4
"Western Wildfires, California Firestorm (Summer-Fall 2017)",Wildfire,2017-06-01,2017-12-31,23226.5,18005.0,54,2017,26
"North Dakota, South Dakota and Montana Drought (Spring-Fall 2017)",Drought,2017-03-01,2017-12-31,3250.0,2500.0,0,2017,155
Central and Eastern Winter Storm (January 2018),Winter Storm,2018-01-03,2018-01-05,1324.6,1043.0,22,2018,360
Northeast Winter Storm (March 2018),Winter Storm,2018-03-01,2018-03-03,2786.4,2194.0,9,2018,178
Southeastern Tornadoes and Severe Weather (March 2018),Severe Storm,2018-03-18,2018-03-21,1844.1,1452.0,0,2018,266
Southern and Eastern Tornadoes and Severe Weather (April 2018),Severe Storm,2018-04-13,2018-04-16,1660.7,1318.0,3,2018,300
Central and Northeast Severe Weather (May 2018),Severe Storm,2018-05-01,2018-05-04,1751.3,1390.0,0,2018,279
Central and Eastern Severe Weather (May 2018),Severe Storm,2018-05-13,2018-05-15,1726.2,1370.0,5,2018,284
Texas Hail Storm (June 2018),Severe Storm,2018-06-06,2018-06-06,1625.0,1300.0,0,2018,303
Colorado Hail Storm (June 2018),Severe Storm,2018-06-13,2018-06-13,1193.8,955.0,0,2018,389
Colorado Hail Storm (June 2018),Severe Storm,2018-06-18,2018-06-19,2778.8,2223.0,0,2018,181
Central and Eastern Tornadoes and Severe Weather (July 2018),Severe Storm,2018-07-19,2018-07-22,1981.6,1585.0,0,2018,244
Mountain West Severe Weather (July 2018),Severe Storm,2018-07-26,2018-07-29,1063.8,851.0,0,2018,403
Rockies and Plains Hail Storms (August 2018),Severe Storm,2018-08-06,2018-08-07,1281.4,1025.0,0,2018,370
Hurricane Florence (September 2018),Tropical Cyclone,2018-09-13,2018-09-16,30000.0,24000.0,53,2018,19
Hurricane Michael (October 2018),Tropical Cyclone,2018-10-10,2018-10-11,31218.8,24975.0,49,2018,17
Southwest/Southern Plains Drought (Summer-Fall 2018),Drought,2018-06-01,2018-12-30,3797.4,2990.0,0,2018,132
"Western Wildfires, California Firestorm (Summer-Fall 2018)",Wildfire,2018-06-01,2018-12-31,30000.0,24000.0,106,2018,19
"Southeast, Ohio Valley and Northeast Severe Weather (February 2019)",Severe Storm,2019-02-23,2019-02-25,1547.2,1237.5,2,2019,312
Texas Hail Storm (March 2019),Severe Storm,2019-03-22,2019-03-24,1903.4,1535.0,0,2019,260
Missouri River and North Central Flooding (March 2019),Flooding,2019-03-14,2019-03-31,13408.9,10727.0,3,2019,39
Southern and Eastern Tornadoes and Severe Weather (April 2019),Severe Storm,2019-04-13,2019-04-14,1540.0,1252.0,7,2019,316
South and Southeast Severe Weather (May 2019),Severe Storm,2019-05-07,2019-05-13,1862.4,1514.0,0,2019,264
Central Severe Weather (May 2019),Severe Storm,2019-05-16,2019-05-18,1196.9,973.0,0,2019,386
"Rockies, Central and Northeast Tornadoes and Severe Weather (May 2019)",Severe Storm,2019-05-26,2019-05-29,5655.6,4598.0,3,2019,85
Arkansas River Flooding (June 2019),Flooding,2019-05-20,2019-06-14,3720.8,3025.0,5,2019,136
Colorado Hail Storms (July 2019),Severe Storm,2019-07-04,2019-07-05,1239.8,1008.0,0,2019,381
"Mississippi River, Midwest and Southern Flooding (July 2019)",Flooding,2019-03-15,2019-07-31,7649.6,6169.0,4,2019,64
Hurricane Dorian (September 2019),Tropical Cyclone,2019-08-28,2019-09-06,1980.3,1610.0,10,2019,245
Tropical Storm Imelda (September 2019),Tropical Cyclone,2019-09-17,2019-09-21,6150.0,5000.0,5,2019,78
Texas Tornadoes and Central Severe Weather (October 2019),Severe Storm,2019-10-20,2019-10-20,2113.1,1718.0,2,2019,230
California and Alaska Wildfires (Summer-Fall 2019),Wildfire,2019-06-01,2019-11-30,5535.0,4500.0,3,2019,86
Southeast Tornadoes and Northern Storms and Flooding (January 2020),Severe Storm,2020-01-10,2020-01-12,1401.8,1149.0,10,2020,348
"South, East and Northeast Severe Weather (February 2020)",Severe Storm,2020-02-05,2020-02-07,1532.2,1256.0,3,2020,319
Tennessee Tornadoes and Southeast Severe Weather (March 2020),Severe Storm,2020-03-02,2020-03-04,2850.0,2336.0,25,2020,176
Midwest and Ohio Valley Severe Weather (March 2020),Severe Storm,2020-03-27,2020-03-28,3120.9,2558.0,0,2020,162
North Central and Ohio Valley Hail Storms and Severe Weather (April 2020),Severe Storm,2020-04-07,2020-04-08,3543.9,2881.0,0,2020,144
Southeast and Eastern Tornado Outbreak (April 2020),Severe Storm,2020-04-12,2020-04-13,4236.2,3444.0,35,2020,119
Southern Severe Weather (April 2020),Severe Storm,2020-04-21,2020-04-23,1660.6,1350.0,3,2020,301
"Central, Southern and Eastern Severe Weather (April 2020)",Severe Storm,2020-04-27,2020-04-30,1263.3,1027.0,1,2020,373
Central and Eastern Severe Weather (May 2020),Severe Storm,2020-05-03,2020-05-05,2598.9,2113.0,2,2020,192
"South, Central and Eastern Severe Weather (May 2020)",Severe Storm,2020-05-20,2020-05-23,1948.6,1584.0,2,2020,252
South Texas Hail Storms (May 2020),Severe Storm,2020-05-27,2020-05-27,1722.0,1400.0,0,2020,286
Central Severe Weather (July 2020),Severe Storm,2020-07-10,2020-07-11,1459.1,1196.0,0,2020,335
Hurricane Hanna (July 2020),Tropical Cyclone,2020-07-25,2020-07-26,1300.8,1075.0,0,2020,365
Hurricane Isaias (August 2020),Tropical Cyclone,2020-08-03,2020-08-04,5756.1,4757.0,16,2020,83
Central Severe Weather - Derecho (August 2020),Severe Storm,2020-08-10,2020-08-10,13452.9,11027.0,4,2020,38
Hurricane Laura (August 2020),Tropical Cyclone,2020-08-27,2020-08-28,28090.3,23215.0,42,2020,22
Hurricane Sally (September 2020),Tropical Cyclone,2020-09-15,2020-09-17,8801.5,7274.0,5,2020,59
Hurricane Delta (October 2020),Tropical Cyclone,2020-10-09,2020-10-11,3469.3,2867.0,5,2020,148
Hurricane Zeta (October 2020),Tropical Cyclone,2020-10-28,2020-10-29,5266.0,4352.0,6,2020,95
Tropical Storm Eta (November 2020),Tropical Cyclone,2020-11-08,2020-11-12,1766.7,1460.0,12,2020,276
"Western Wildfires - California, Oregon, Washington Firestorms (Fall 2020)",Wildfire,2020-08-01,2020-12-30,19904.5,16450.0,46,2020,28
Western/Central Drought and Heat Wave (Summer-Fall 2020),Drought,2020-06-01,2020-12-30,5439.1,4495.0,45,2020,92
California Flooding and Severe Weather (January 2021),Flooding,2021-01-24,2021-01-29,1325.0,1095.0,2,2021,359
"Northwest, Central, Eastern Winter Storm and Cold Wave (February 2021)",Winter Storm,2021-02-10,2021-02-19,27223.2,22686.0,262,2021,23
Southeast Tornadoes and Severe Weather (March 2021),Severe Storm,2021-03-24,2021-03-25,1995.8,1677.0,6,2021,241
Eastern Severe Weather (March 2021),Severe Storm,2021-03-27,2021-03-28,1601.9,1346.0,8,2021,305
Texas Hail Storms (April 2021),Severe Storm,2021-04-12,2021-04-15,1755.3,1475.0,0,2021,278
Texas and Oklahoma Severe Weather (April 2021),Severe Storm,2021-04-27,2021-04-28,3747.4,3149.0,0,2021,135
Southern Tornadoes and Southeast Severe Weather (May 2021),Severe Storm,2021-05-02,2021-05-04,1479.1,1264.0,4,2021,328
Louisiana Flooding (May 2021),Flooding,2021-05-17,2021-05-18,1569.6,1319.0,5,2021,309
Ohio Valley Hail Storms (June 2021),Severe Storm,2021-06-17,2021-06-18,1980.1,1707.0,0,2021,246
Central Severe Storms (June 2021),Severe Storm,2021-06-24,2021-06-26,1453.6,1253.0,0,2021,337
Tropical Storm Elsa (July 2021),Tropical Cyclone,2021-07-07,2021-07-09,1407.1,1213.0,1,2021,343
Central Severe Storms (July 2021),Severe Storm,2021-07-08,2021-07-11,1252.8,1080.0,0,2021,377
North Central Severe Weather (August 2021),Severe Storm,2021-08-10,2021-08-13,1489.5,1284.0,2,2021,325
Tropical Storm Fred (August 2021),Tropical Cyclone,2021-08-16,2021-08-18,1481.3,1277.0,7,2021,327
Hurricane Ida (August 2021),Tropical Cyclone,2021-08-29,2021-09-01,84608.1,73572.0,96,2021,6
Hurricane Nicholas (September 2021),Tropical Cyclone,2021-09-14,2021-09-18,1168.5,1016.0,0,2021,392
"Southeast, Central Tornado Outbreak (December 2021)",Severe Storm,2021-12-10,2021-12-10,4463.1,3915.0,93,2021,111
Midwest Derecho and Tornado Outbreak (December 2021),Severe Storm,2021-12-15,2021-12-15,2031.5,1782.0,1,2021,237
Western Wildfires (2021),Wildfire,2021-06-01,2021-12-31,12064.0,10400.0,8,2021,46
Western Drought and Heat Wave (2021),Drought,2021-01-01,2021-12-31,10201.9,8431.0,229,2021,50
Texas Hail Storms (February 2022),Severe Storm,2022-02-21,2022-02-22,1118.9,1008.0,0,2022,399
Southern Tornado Outbreak (March 2022),Severe Storm,2022-03-30,2022-03-30,1381.6,1256.0,2,2022,351
Southeast Tornado Outbreak (April 2022),Severe Storm,2022-04-04,2022-04-06,1544.8,1417.0,3,2022,314
Southern Severe Weather (April 2022),Severe Storm,2022-04-11,2022-04-13,2915.7,2675.0,1,2022,173
Southern and Central Severe Weather (May 2022),Severe Storm,2022-05-01,2022-05-03,1230.1,1139.0,1,2022,382
North Central Hail Storms (May 2022),Severe Storm,2022-05-09,2022-05-09,2354.4,2160.0,0,2022,210
North Central Severe Weather (May 2022),Severe Storm,2022-05-11,2022-05-12,2949.6,2706.0,1,2022,171
North Central Hail Storms (May 2022),Severe Storm,2022-05-19,2022-05-19,2625.4,2431.0,0,2022,190
Central Severe Weather (June 2022),Severe Storm,2022-06-07,2022-06-08,2025.7,1911.0,0,2022,239
Central Derecho (June 2022),Severe Storm,2022-06-13,2022-06-13,3386.6,3195.0,1,2022,151
North Central and Eastern Severe Weather (July 2022),Severe Storm,2022-07-22,2022-07-24,1420.4,1340.0,1,2022,340
Kentucky and Missouri Flooding (July 2022),Flooding,2022-07-26,2022-07-28,1552.9,1465.0,42,2022,310
Hurricane Fiona (September 2022),Tropical Cyclone,2022-09-17,2022-09-18,2685.7,2510.0,25,2022,188
Hurricane Ian (September 2022),Tropical Cyclone,2022-09-28,2022-09-30,119626.0,111800.0,152,2022,3
Hurricane Nicole (November 2022),Tropical Cyclone,2022-11-10,2022-11-11,1081.2,1020.0,5,2022,401
Western Wildfires (Spring-Fall 2022),Wildfire,2022-04-01,2022-11-30,3296.6,3110.0,17,2022,154
Central and Eastern Winter Storm and Cold Wave (December 2022),Winter Storm,2022-12-21,2022-12-26,8951.7,8445.0,87,2022,58
Western/Central Drought and Heat Wave (2022),Drought,2022-01-01,2022-12-31,23480.6,20965.0,136,2022,25
Northeastern Winter Storm/Cold Wave (February 2023),Winter Storm,2023-02-02,2023-02-05,1838.8,1751.0,1,2023,267
Southern and Eastern Severe Weather (March 2023),Severe Storm,2023-03-02,2023-03-03,6170.0,5876.0,13,2023,76
California Flooding (December 2022 - March 2023),Flooding,2022-12-26,2023-03-19,4725.0,4500.0,22,2022,107
Southern and Eastern Severe Weather (April 2023),Severe Storm,2023-03-24,2023-03-26,2956.0,2815.0,23,2023,170
Central Tornado Outbreak and Eastern Severe Weather (March 2023),Severe Storm,2023-03-31,2023-04-01,5909.8,5628.0,33,2023,82
Central and Eastern Severe Weather (April 2023),Severe Storm,2023-04-04,2023-04-06,2956.1,2815.0,5,2023,169
Fort Lauderdale Flash Flood (April 2023),Flooding,2023-04-12,2023-04-13,1144.0,1100.0,0,2023,395
Central and Southern Severe Weather (April 2023),Severe Storm,2023-04-15,2023-04-15,1401.9,1335.0,0,2023,347
Central Severe Weather (April 2023),Severe Storm,2023-04-19,2023-04-20,3108.3,2960.0,1,2023,163
Southern Severe Weather (April 2023),Severe Storm,2023-04-25,2023-04-27,1372.8,1320.0,0,2023,353
Central Severe Weather (May 2023),Severe Storm,2023-05-06,2023-05-08,2222.5,2137.0,1,2023,220
Central and Eastern Tornadoes and Hail Storms (May 2023),Severe Storm,2023-05-10,2023-05-12,3563.0,3426.0,1,2023,140
Texas Hail Storms (May 2023),Severe Storm,2023-05-18,2023-05-19,1690.0,1625.0,0,2023,296
Typhoon Mawar (May 2023),Tropical Cyclone,2023-05-24,2023-05-25,4420.0,4250.0,2,2023,113
Southern Severe Weather (June 2023),Severe Storm,2023-06-11,2023-06-14,4193.2,4032.0,0,2023,120
Central and Southern Severe Weather (June 2023),Severe Storm,2023-06-15,2023-06-18,3918.7,3768.0,5,2023,127
Rockies Hail Storms and Central and Eastern Severe Weather (June 2023),Severe Storm,2023-06-21,2023-06-26,5453.9,5244.0,8,2023,91
Central Severe Weather (June 2023),Severe Storm,2023-06-28,2023-07-02,1976.8,1919.0,3,2023,248
Northeastern Flooding and North Central Severe Weather (July 2023),Flooding,2023-07-09,2023-07-15,2230.4,2165.0,10,2023,219
North Central and Southeastern Severe Weather (July 2023),Severe Storm,2023-07-19,2023-07-21,1887.0,1832.0,1,2023,262
North Central and Eastern Severe Weather (July 2023),Severe Storm,2023-07-28,2023-07-29,1526.6,1482.0,2,2023,322
Hawaii Firestorm (August 2023),Wildfire,2023-08-08,2023-08-08,5665.0,5500.0,100,2023,84
Northeastern and Eastern Severe Weather (August 2023),Severe Storm,2023-08-05,2023-08-08,1680.2,1631.0,4,2023,298
Minnesota Hail Storms (August 2023),Severe Storm,2023-08-11,2023-08-11,1828.3,1775.0,0,2023,269
Hurricane Idalia (August 2023),Tropical Cyclone,2023-08-29,2023-08-31,3559.7,3456.0,5,2023,141
Southern Hail Storms (September 2023),Severe Storm,2023-09-23,2023-09-24,1694.5,1645.0,0,2023,292
Southern/Midwestern Drought and Heatwave (Spring-Fall 2023),Drought,2023-04-01,2023-09-30,14786.7,14082.0,247,2023,35
East Coast Storm and Flooding (December 2023),Flooding,2023-12-16,2023-12-18,1314.4,1276.0,5,2023,362
Southern Tornado Outbreak and East Coast Storm (January 2024),Severe Storm,2024-01-08,2024-01-10,2780.2,2726.0,3,2024,179
Northwest Winter Storm (January 2024),Winter Storm,2024-01-12,2024-01-14,1723.8,1690.0,20,2024,285
"Central, Southern, Northeastern Winter Storm and Cold Wave (January 2024)",Winter Storm,2024-01-14,2024-01-18,1948.3,1910.0,41,2024,253
Southern Severe Weather (February 2024),Severe Storm,2024-02-10,2024-02-12,1072.0,1051.0,0,2024,402
Central and Eastern Severe Weather (February 2024),Severe Storm,2024-02-27,2024-02-28,1534.0,1504.0,0,2024,318
Central and Southern Severe Weather (March 2024),Severe Storm,2024-03-12,2024-03-14,6151.6,6031.0,3,2024,77
Central Tornado Outbreak and Eastern Severe Weather (April 2024),Severe Storm,2024-04-01,2024-04-03,2465.5,2441.0,3,2024,201
Southern and Eastern Severe Weather (April 2024),Severe Storm,2024-04-08,2024-04-11,2725.1,2698.0,0,2024,186
Central and Southern Tornado Outbreak (April 2024),Severe Storm,2024-04-26,2024-04-28,1697.8,1681.0,3,2024,291
"Central, Southern, Southeastern Tornado Outbreak (May 2024)",Severe Storm,2024-05-06,2024-05-09,6571.0,6571.0,3,2024,73
Southern Severe Weather (May 2024),Severe Storm,2024-05-11,2024-05-13,1124.0,1124.0,1,2024,398
Southern Derecho (May 2024),Severe Storm,2024-05-16,2024-05-17,1551.0,1551.0,8,2024,311
"Central, Southern, Eastern Severe Weather (May 2024)",Severe Storm,2024-05-18,2024-05-22,4907.8,4859.0,5,2024,102
Central Tornado Outbreak (May 2024),Severe Storm,2024-05-25,2024-05-26,3466.4,3432.0,16,2024,149
Texas Hail Storms (May 2024),Severe Storm,2024-05-27,2024-05-28,2348.3,2325.0,1,2024,211
Colorado Hail Storms and Southern Severe Weather (May 2024),Severe Storm,2024-05-31,2024-06-01,3012.8,2983.0,0,2024,167
Central and Eastern Severe Weather (June 2024),Severe Storm,2024-06-12,2024-06-14,1228.0,1228.0,0,2024,383
Upper Midwest Flooding (June 2024),Flooding,2024-06-16,2024-06-23,1113.0,1113.0,4,2024,400
Central and Northeast Severe Weather (June 2024),Severe Storm,2024-06-24,2024-06-26,1704.0,1704.0,3,2024,289
New Mexico Wildfires (June 2024),Wildfire,2024-06-17,2024-07-07,1780.0,1780.0,2,2024,274
Hurricane Beryl (July 2024),Tropical Cyclone,2024-07-08,2024-07-08,7219.0,7219.0,46,2024,67
Central and Eastern Tornado Outbreak and Severe Weather (July 2024),Severe Storm,2024-07-13,2024-07-16,2435.0,2435.0,2,2024,204
Hurricane Debby (August 2024),Tropical Cyclone,2024-08-05,2024-08-09,2476.0,2476.0,17,2024,200
Hurricane Francine (September 2024),Tropical Cyclone,2024-09-11,2024-09-12,1291.0,1291.0,0,2024,367
Hurricane Helene (September 2024),Tropical Cyclone,2024-09-24,2024-09-29,78721.0,78721.0,219,2024,7
Hurricane Milton (October 2024),Tropical Cyclone,2024-10-09,2024-10-10,34250.0,34250.0,32,2024,15
Southern/Eastern/Northwestern Drought and Heat Wave (2024),Drought,2024-01-01,2024-12-31,5417.0,5311.0,136,2024,93
